,Time,Chick,Diet,weight
1,0,1,1,42
2,2,1,1,51
3,4,1,1,59
4,6,1,1,64
5,8,1,1,76
6,10,1,1,93
7,12,1,1,106
8,14,1,1,125
9,16,1,1,149
10,18,1,1,171
11,20,1,1,199
12,21,1,1,205
13,0,2,1,40
14,2,2,1,49
15,4,2,1,58
16,6,2,1,72
17,8,2,1,84
18,10,2,1,103
19,12,2,1,122
20,14,2,1,138
21,16,2,1,162
22,18,2,1,187
23,20,2,1,209
24,21,2,1,215
25,0,3,1,43
26,2,3,1,39
27,4,3,1,55
28,6,3,1,67
29,8,3,1,84
30,10,3,1,99
31,12,3,1,115
32,14,3,1,138
33,16,3,1,163
34,18,3,1,187
35,20,3,1,198
36,21,3,1,202
37,0,4,1,42
38,2,4,1,49
39,4,4,1,56
40,6,4,1,67
41,8,4,1,74
42,10,4,1,87
43,12,4,1,102
44,14,4,1,108
45,16,4,1,136
46,18,4,1,154
47,20,4,1,160
48,21,4,1,157
49,0,5,1,41
50,2,5,1,42
51,4,5,1,48
52,6,5,1,60
53,8,5,1,79
54,10,5,1,106
55,12,5,1,141
56,14,5,1,164
57,16,5,1,197
58,18,5,1,199
59,20,5,1,220
60,21,5,1,223
61,0,6,1,41
62,2,6,1,49
63,4,6,1,59
64,6,6,1,74
65,8,6,1,97
66,10,6,1,124
67,12,6,1,141
68,14,6,1,148
69,16,6,1,155
70,18,6,1,160
71,20,6,1,160
72,21,6,1,157
73,0,7,1,41
74,2,7,1,49
75,4,7,1,57
76,6,7,1,71
77,8,7,1,89
78,10,7,1,112
79,12,7,1,146
80,14,7,1,174
81,16,7,1,218
82,18,7,1,250
83,20,7,1,288
84,21,7,1,305
85,0,8,1,42
86,2,8,1,50
87,4,8,1,61
88,6,8,1,71
89,8,8,1,84
90,10,8,1,93
91,12,8,1,110
92,14,8,1,116
93,16,8,1,126
94,18,8,1,134
95,20,8,1,125
96,0,9,1,42
97,2,9,1,51
98,4,9,1,59
99,6,9,1,68
100,8,9,1,85
101,10,9,1,96
102,12,9,1,90
103,14,9,1,92
104,16,9,1,93
105,18,9,1,100
106,20,9,1,100
107,21,9,1,98
108,0,10,1,41
109,2,10,1,44
110,4,10,1,52
111,6,10,1,63
112,8,10,1,74
113,10,10,1,81
114,12,10,1,89
115,14,10,1,96
116,16,10,1,101
117,18,10,1,112
118,20,10,1,120
119,21,10,1,124
120,0,11,1,43
121,2,11,1,51
122,4,11,1,63
123,6,11,1,84
124,8,11,1,112
125,10,11,1,139
126,12,11,1,168
127,14,11,1,177
128,16,11,1,182
129,18,11,1,184
130,20,11,1,181
131,21,11,1,175
132,0,12,1,41
133,2,12,1,49
134,4,12,1,56
135,6,12,1,62
136,8,12,1,72
137,10,12,1,88
138,12,12,1,119
139,14,12,1,135
